date	place	confirmed	deaths	updated
2020-02-05	Hainan	80	1	2020-02-05 15:43:21
2020-02-05	Hebei	136	1	2020-02-05 15:43:21
2020-02-05	Heilongjiang	190	2	2020-02-05 15:43:21
2020-02-05	Henan	764	2	2020-02-05 15:43:21
2020-02-05	Hong Kong	17	1	2020-02-05 15:43:21
2020-02-05	Hubei	16678	479	2020-02-05 15:43:21
2020-02-05	Hunan	661	0	2020-02-05 15:43:21
2020-02-05	Inner Mongolia	42	0	2020-02-05 15:43:21
2020-02-05	Jiangsu	341	0	2020-02-05 15:43:21
2020-02-05	Jiangxi	548	0	2020-02-05 15:43:21
2020-02-05	Jilin	54	0	2020-02-05 15:43:21
2020-02-05	Liaoning	81	0	2020-02-05 15:43:21
2020-02-05	Macau	10	0	2020-02-05 15:43:21
2020-02-05	Ningxia	34	0	2020-02-05 15:43:21
2020-02-05	Qinghai	17	0	2020-02-05 15:43:21
2020-02-05	Shaanxi	142	0	2020-02-05 15:43:21
2020-02-05	Shandong	298	0	2020-02-05 15:43:21
2020-02-05	Shanghai	233	1	2020-02-05 15:43:21
2020-02-05	Shanxi	81	0	2020-02-05 15:43:21
2020-02-05	Sichuan	301	1	2020-02-05 15:43:21
2020-02-05	Taiwan	11	0	2020-02-05 15:43:21
2020-02-05	Tianjin	67	0	2020-02-05 15:43:21
2020-02-05	Tibet	1	0	2020-02-05 15:43:21
2020-02-05	Xinjiang	29	0	2020-02-05 15:43:21
2020-02-05	Yunnan	122	0	2020-02-05 15:43:21
2020-02-05	Zhejiang	895	0	2020-02-05 15:43:21
2020-02-04	Anhui	480	0	2020-02-05 05:36:58
2020-02-04	Beijing	228	1	2020-02-05 05:36:58
2020-02-04	CHINA TOTAL	20530	426	2020-02-05 05:36:58
2020-02-04	Chongqing	344	2	2020-02-05 05:36:58
2020-02-04	Fujian	194	0	2020-02-05 05:36:58
2020-02-04	Gansu	57	0	2020-02-05 05:36:58
2020-02-04	Guangdong	813	0	2020-02-05 05:36:58
2020-02-04	Guangxi	139	0	2020-02-05 05:36:58
2020-02-04	Guizhou	58	0	2020-02-05 05:36:58
2020-02-04	Hainan	80	1	2020-02-05 05:36:58
2020-02-04	Hebei	126	1	2020-02-05 05:36:58
2020-02-04	Heilongjiang	155	2	2020-02-05 05:36:58
2020-02-04	Henan	675	2	2020-02-05 05:36:58
2020-02-04	Hong Kong	17	1	2020-02-05 05:36:58
2020-02-04	Hubei	13522	414	2020-02-05 05:36:58
2020-02-04	Hunan	593	0	2020-02-05 05:36:58
2020-02-04	Inner Mongolia	35	0	2020-02-05 05:36:58
2020-02-04	Jiangsu	308	0	2020-02-05 05:36:58
2020-02-04	Jiangxi	476	0	2020-02-05 05:36:58
2020-02-04	Jilin	42	0	2020-02-05 05:36:58
2020-02-04	Liaoning	81	0	2020-02-05 05:36:58
2020-02-04	Macau	10	0	2020-02-05 05:36:58
2020-02-04	Ningxia	34	0	2020-02-05 05:36:58
2020-02-04	Qinghai	15	0	2020-02-05 05:36:58
2020-02-04	Shaanxi	142	0	2020-02-05 05:36:58
2020-02-04	Shandong	275	0	2020-02-05 05:36:58
2020-02-04	Shanghai	219	1	2020-02-05 05:36:58
2020-02-04	Shanxi	74	0	2020-02-05 05:36:58
2020-02-04	Sichuan	282	1	2020-02-05 05:36:58
2020-02-04	Taiwan	11	0	2020-02-05 05:36:58
2020-02-04	Tianjin	67	0	2020-02-05 05:36:58
2020-02-04	Tibet	1	0	2020-02-05 05:36:58
2020-02-04	Xinjiang	29	0	2020-02-05 05:36:58
2020-02-04	Yunnan	119	0	2020-02-05 05:36:58
2020-02-04	Zhejiang	829	0	2020-02-05 05:36:58
2020-02-03	Anhui	408	0	2020-02-03 23:43:29
2020-02-03	Beijing	212	1	2020-02-03 23:43:29
2020-02-03	CHINA TOTAL	17335	361	2020-02-03 23:43:29
2020-02-03	Chongqing	312	2	2020-02-03 23:43:29
2020-02-03	Fujian	179	0	2020-02-03 23:43:29
2020-02-03	Gansu	51	0	2020-02-03 23:43:29
2020-02-03	Guangdong	725	0	2020-02-03 23:43:29
2020-02-03	Guangxi	127	0	2020-02-03 23:43:29
2020-02-03	Guizhou	46	0	2020-02-03 23:43:29
2020-02-03	Hainan	71	1	2020-02-03 23:43:29
2020-02-03	Hebei	113	1	2020-02-03 23:43:29
2020-02-03	Heilongjiang	121	2	2020-02-03 23:43:29
2020-02-03	Henan	566	2	2020-02-03 23:43:29
2020-02-03	Hong Kong	15	0	2020-02-03 23:43:29
2020-02-03	Hubei	11177	350	2020-02-03 23:43:29
2020-02-03	Hunan	521	0	2020-02-03 23:43:29
2020-02-03	Inner Mongolia	34	0	2020-02-03 23:43:29
2020-02-03	Jiangsu	271	0	2020-02-03 23:43:29
2020-02-03	Jiangxi	391	0	2020-02-03 23:43:29
2020-02-03	Jilin	31	0	2020-02-03 23:43:29
2020-02-03	Liaoning	73	0	2020-02-03 23:43:29
2020-02-03	Macau	8	0	2020-02-03 23:43:29
2020-02-03	Ningxia	31	0	2020-02-03 23:43:29
2020-02-03	Qinghai	13	0	2020-02-03 23:43:29
2020-02-03	Shaanxi	128	0	2020-02-03 23:43:29
2020-02-03	Shandong	259	0	2020-02-03 23:43:29
2020-02-03	Shanghai	203	1	2020-02-03 23:43:29
2020-02-03	Shanxi	66	0	2020-02-03 23:43:29
2020-02-03	Sichuan	254	1	2020-02-03 23:43:29
2020-02-03	Taiwan	10	0	2020-02-03 23:43:29
2020-02-03	Tianjin	56	0	2020-02-03 23:43:29
2020-02-03	Tibet	1	0	2020-02-03 23:43:29
2020-02-03	Xinjiang	24	0	2020-02-03 23:43:29
2020-02-03	Yunnan	114	0	2020-02-03 23:43:29
2020-02-03	Zhejiang	724	0	2020-02-03 23:43:29
2020-01-30	Anhui	200	0	2020-01-31 00:22:04
2020-01-30	Beijing	114	1	2020-01-31 00:22:04
2020-01-30	CHINA TOTAL	7828	170	2020-01-31 00:22:04
2020-01-30	Chongqing	182	0	2020-01-31 00:22:04
2020-01-30	Fujian	101	0	2020-01-31 00:22:04
2020-01-30	Gansu	26	0	2020-01-31 00:22:04
2020-01-30	Guangdong	354	0	2020-01-31 00:22:04
