location_id	latitude	longitude	confirmed	deaths	status	country_code	region	locality	location
292	29.028066	106.651361	29.028066	4			CHN	Chongqing	Qijiang District	
293	29.402408	106.540256	29.402408	1			CHN	Chongqing	Banan District	
294	45.771726	131.0031381	45.771726	2			CHN	Heilongjiang	Qitaihe	
295	46.646508	131.159133	46.646508	1			CHN	Heilongjian	Shuangyashan	
296	26.592666	104.830359	26.592666	2			CHN	Guizhou	Liupanshui	
297	26.254092	107.522097	26.254092	2			CHN	Guizhou	Qiannan	
298	35.601182	103.210538	35.601182	1			CHN	Gansu	Linxia	
299	38.925875	100.449818	38.925875	2			CHN	Gansu	Zhangye	
300	33.400684	104.921841	33.400684	1			CHN	Gansu	Longnan	
301	39.538047	116.683752	39.538047	9			CHN	Hebei	Langfang	
302	37.070834	114.504677	37.070834	5			CHN	Hebei	Xingtai	
303	30.128901	104.627636	30.128901	2			CHN	Sichuan	Ziyang	
304	27.88157	102.267712	27.88157	2			CHN	Sichuan	Liangshan Prefecture	
305	28.751836	104.643159	28.751836	5			CHN	Sichuan	Yibin	
306	37.4449168	127.1388684	37.4449168	1			KOR	Gyeonggi	Seongnam	
307	34.49938	109.502882	34.49938	4			CHN	Shaanxi	Weinan	
308	34.810487	117.323725	34.810487	8			CHN	Shandong	Zaozhuang	
309	10.6267867	103.5115545	10.6267867	1			KHM	Preah Sihanouk Province	Sihanoukville	
310	6.9270786	79.8612430000001	6.9270786	1			LKA	Western Province	Colombo (commercial capital)	
311	47.9999615	11.339009	47.9999615	4			DEU	Bavaria	Starnberg Area	
312	28.260189	117.069202	28.260189	3			CHN	Jiangxi	Yingtan	
313	35.215892	113.241823	35.215892	2			CHN	Henan	Jiaozuo	
314	36.200252	117.087614	36.200252	3			CHN	Shandong	Tai'an	
315	31.743483	110.680447	31.743483	5			CHN	Hubei	Shennongjia	
316	29.500296	106.644428	29.500296	2			CHN	Chongqing	Nan'an District	
317	29.533609	108.770677	29.533609	1			CHN	Chongqing	Qianjiang District	
318	44.306097	86.080602	44.306097	1			CHN	Xinjiang	Shihezi	
319	44.426529	84.903267	44.426529	1			CHN	Xinjiang	Kuytun (7th Division)	
320	42.951303	89.189752	42.951303	1			CHN	Xinjiang	Turpan	
321	38.520089	102.188043	38.520089	1			CHN	Gansu	Jinchang	
322	34.580885	105.72498	34.580885	2			CHN	Gansu	Tianshui	
323	37.73892	115.670177	37.73892	4			CHN	Hebei	Hengshui	
324	39.630867	118.180193	39.630867	3			CHN	Hebei	Tangshan	
325	37.99746	106.198393	37.99746	2			CHN	Ningxia	Wuzhong	
326	43.504687	124.82283	43.504687	1			CHN	Jilin	Gongzhuling (Siping)	
327	19.033369	109.838389	19.033369	1			CHN	Hainan	Qiongzhong County	
328	19.09535	108.651815	19.09535	1			CHN	Hainan	Dongfang	
329	19.258341	110.474648	19.258341	3			CHN	Hainan	Qionghai	
330	41.267244	123.236944	41.267244	1			CHN	Liaoning	Liaoyang	
331	25.075123	117.017536	25.075123	1			CHN	Fujian	Longyan	
332	23.69781	120.960515	23.69781	2			TWN	Taiwan (Region)		
333	34.363184	107.237743	34.363184	4			CHN	Shaanxi	Baoji	
334	40.842356	111.749995	40.842356	2			CHN	Inner Mongolia	Hohhot	
335	34.2975528	135.8279734	34.2975528	1			JPN	Nara Prefecture		
336	23.743685	114.700961	23.743685	1			CHN	Guangdong	Heyuan	
337	41.095685	121.1268459	41.095685	4			CHN	Liaoning	Jinzhou	
338	43.0617713	141.3544507	43.0617713	1			JPN	Hokkaido	Sapporo	
339	24.1246022	120.5163949	24.1246022	2			TWN	Western Taiwans+	Changhua County	
340	25.0329636	121.5654268	25.0329636	2			TWN	Taiwan	Taipei City	
341	6.35	99.8	6.35	2			Mys	Kedah	Langkawi	
342	49.2827291	-123.1207375	49.2827291	1			CAN	BC	Vancouver	
343	35.761829	115.029215	35.761829	1			CHN	Henan	Puyang	
344	30.153746	116.129105	30.153746	6			CHN	Anhui	Susong	
345	31.867903	106.747477	31.867903	4			CHN	Sichuan	Bazhong	
346	32.435435	105.843357	32.435435	3			CHN	Sichuan	Guangyuan	
347	40.767544	114.886335	40.767544	6			CHN	Hebei	Zhangjiakou	
348	41.728401	125.939697	41.728401	1			CHN	Jilin	Tonghua	
349	45.295075	130.969333	45.295075	1			CHN	Heilongjiang	Jixi	
350	35.543061	106.665131	35.543061	1			CHN	Gansu	Pingliang	
351	21.662991	110.925439	21.662991	4			CHN	Guangdong	Maoming	
352	29.552736	106.568896	29.552736	2			CHN	Chongqing	Yuzhong District	
353	41.088421	108.267562	41.088421	2			CHN	Inner Mongolias+	Wuyuan County (Bayan Nur)	
354	43.61812	118.05545	43.61812	1			CHN	Inner Mongolia	Linxi (Chifeng)	
355	42.25785	118.886931	42.25785	1			CHN	Inner Mongolia	Chifeng	
356	22.825065	100.966512	22.825065	3			CHN	Yunnan	Pu'er	
357	25.2048493	55.2707828	25.2048493	4			UAE	Emirate of Dubai	Dubai	
358	22.579117	113.081508	22.579117	2			CHN	Guangdong	Jiangmen	
359	-28.016667	153.4	-28.016667	1			AUS	Queensland	Gold Coast	
360	66.5039478	25.7293906	66.5039478	1			FIN	Lapland	Rovaniemi	
361	34.6937249	135.5022535	34.6937249	1			CHN	Kansai	Osaka	
362	29.356117	105.927375	29.356117	3			CHN	Chongqing	Yongchuan District	
363	29.325601	107.760025	29.325601	1			CHN	Wulong District		
364	24.403582	111.566694	24.403582	1			CHN	Guangxi	Hezhou	
365	21.979933	108.654146	21.979933	1			CHN	Guangxi	Qinzhou	
366	35.201548	114.668936	35.201548	1			CHN	Henan	Changyuan City (Xinxiang)	
367	35.575417	114.519311	35.575417	1			CHN	Henan	Huaxian County (Anyang)	
368	27.725654	106.927389	27.725654	1			CHN	Guizhou	Zunyi	
369	26.583442	107.982859	26.583442	1			CHN	Guizhou	Qiandongnan	
370	27.283955	105.291643	27.283955	1			CHN	Guizhou	Bijie	
371	42.909408	129.4718681	42.909408	2			CHN	Jilin	Yanbian	
372	43.166419	124.350398	43.166419	1			CHN	Jilin	Siping	
373	43.518302	123.502723	43.518302	2			CHN	Jilin	Shuangliao (Changchun)	
374	29.117096	110.479191	29.117096	1			CHN	Hunan	Zhangjiajie	
375	52.335262	124.711526	52.335262	1			CHN	Heilongjian	Da Hinggan Ling	
376	47.349916	130.297964	47.349916	1			CHN	Heilongjiang	Hegang	
