updated	id	confirmed	deaths	recovered
2020-01-27 09:00:00	848	47		1
2020-02-02 21:00:00	851	271		7
2020-01-22 12:00:00	854	1		
2020-02-01 10:00:00	857	202		6
2020-01-27 20:30:00	860	70		1
2020-01-28 18:00:00	863	70		1
2020-01-25 12:00:00	866	18		1
2020-01-28 23:00:00	869	99		1
2020-01-31 14:00:00	872	168		5
2020-01-24 12:00:00	875	9		
2020-01-27 19:00:00	878	47		1
2020-01-25 22:00:00	884	31		1
2020-01-24 12:00:00	38	20		1
2020-01-31 14:00:00	893	135		9
2020-01-25 12:00:00	896	33		1
2020-01-25 22:00:00	899	40		1
2020-01-27 19:00:00	902	53		3
2020-02-03 21:00:00	908	208		10
2020-02-02 21:00:00	911	193		10
2020-01-27 09:00:00	914	53		3
2020-01-22 12:00:00	917	9		
2020-01-27 20:30:00	920	66		3
2020-02-01 10:00:00	923	169		10
2020-01-28 23:00:00	926	80		4
2020-01-28 18:00:00	929	66		4
2020-01-31 19:00:00	932	153		9
2020-01-29 13:30:00	938	96		4
2020-01-26 23:00:00	941	53		1
2020-01-23 12:00:00	944	16		
2020-01-28 13:00:00	947	66		4
2020-01-29 14:30:00	950	96		5
2020-01-30 11:00:00	953	112		5
2020-01-26 11:00:00	956	40		1
2020-01-21 22:00:00	959	9		
2020-01-29 21:00:00	962	101		5
2020-01-29 21:00:00	41	101		
2020-01-26 11:00:00	968	35		
2020-01-30 11:00:00	971	101		
2020-01-29 14:30:00	974	84		
2020-01-29 13:30:00	977	84		
2020-01-26 23:00:00	980	35		
2020-01-23 12:00:00	983	5		
2020-01-28 13:00:00	986	80		
2020-01-31 19:00:00	989	120		
2020-01-25 12:00:00	992	18		
2020-01-28 18:00:00	995	80		
2020-01-28 23:00:00	998	82		
2020-02-01 10:00:00	1001	144		
2020-01-27 20:30:00	1004	59		
2020-01-22 12:00:00	1007	1		
2020-02-03 21:00:00	1010	179		1
2020-02-02 21:00:00	1013	159		
2020-01-27 09:00:00	1016	56		
2020-01-24 12:00:00	1019	10		
2020-01-27 19:00:00	1022	59		
2020-01-25 22:00:00	1025	18		
2020-01-31 14:00:00	1028	120		
2020-02-01 10:00:00	44	100		2
2020-01-27 20:30:00	1040	51		
2020-01-28 18:00:00	1043	51		2
2020-01-25 12:00:00	1046	23		
2020-01-28 23:00:00	1049	58		2
2020-02-02 21:00:00	1052	127		2
2020-02-03 21:00:00	1055	139		7
2020-01-27 09:00:00	1058	46		
2020-01-22 12:00:00	1061	2		
2020-01-24 12:00:00	1064	23		
2020-01-27 19:00:00	1067	46		
2020-01-25 22:00:00	1070	33		
2020-01-31 14:00:00	1073	87		2
2020-01-29 21:00:00	1076	78		2
2020-01-26 11:00:00	1085	36		
2020-01-30 11:00:00	1088	78		2
2020-01-29 14:30:00	1091	58		2
2020-01-29 13:30:00	1094	58		2
2020-01-28 13:00:00	1097	51		2
2020-01-23 12:00:00	1100	5		
2020-01-26 23:00:00	1103	46		
2020-01-31 19:00:00	1106	88		2
2020-01-29 13:30:00	47	56		
2020-01-23 12:00:00	1112	3		
2020-01-28 13:00:00	1115	46		
2020-01-26 23:00:00	1118	22		
2020-01-31 19:00:00	1121	87		
2020-01-29 21:00:00	1124	56		
2020-01-26 11:00:00	1127	22		
2020-01-30 11:00:00	1130	63		
2020-01-29 14:30:00	1133	56		
