date	province/state	country/region	confirmed	deaths	recovered	updated
2020-01-28		France	4			2020-01-28 18:00:00
2020-01-28	Bavaria	Germany	4			2020-01-28 23:00:00
2020-01-28	Bavaria	Germany	4			2020-01-28 18:00:00
2020-01-28		Malaysia	4			2020-01-28 13:00:00
2020-01-28		Malaysia	4			2020-01-28 18:00:00
2020-01-28		South Korea	4			2020-01-28 13:00:00
2020-01-28		South Korea	4			2020-01-28 23:00:00
2020-01-28		South Korea	4			2020-01-28 18:00:00
2020-01-28		France	3			2020-01-28 13:00:00
2020-01-28	Ontario	Canada	2			2020-01-28 13:00:00
2020-01-28	California	US	2			2020-01-28 23:00:00
2020-01-28	California	US	2			2020-01-28 18:00:00
2020-01-28	California	US	2			2020-01-28 13:00:00
2020-01-28		Vietnam	2			2020-01-28 13:00:00
2020-01-28		Vietnam	2			2020-01-28 23:00:00
2020-01-28		Vietnam	2			2020-01-28 18:00:00
2020-01-28	Victoria	Australia	1			2020-01-28 13:00:00
2020-01-28	Victoria	Australia	1			2020-01-28 23:00:00
2020-01-28	Victoria	Australia	1			2020-01-28 18:00:00
2020-01-28		Cambodia	1			2020-01-28 13:00:00
2020-01-28		Cambodia	1			2020-01-28 23:00:00
2020-01-28		Cambodia	1			2020-01-28 18:00:00
2020-01-28	British Columbia	Canada	1			2020-01-28 23:00:00
2020-01-28	British Columbia	Canada	1			2020-01-28 18:00:00
2020-01-28	Ontario	Canada	1			2020-01-28 23:00:00
2020-01-28	Ontario	Canada	1			2020-01-28 18:00:00
2020-01-28	Bavaria	Germany	1			2020-01-28 13:00:00
2020-01-28		Nepal	1			2020-01-28 13:00:00
2020-01-28		Nepal	1			2020-01-28 23:00:00
2020-01-28		Nepal	1			2020-01-28 18:00:00
2020-01-28		Sri Lanka	1			2020-01-28 13:00:00
2020-01-28		Sri Lanka	1			2020-01-28 23:00:00
2020-01-28		Sri Lanka	1			2020-01-28 18:00:00
2020-01-28	Arizona	US	1			2020-01-28 23:00:00
2020-01-28	Arizona	US	1			2020-01-28 18:00:00
2020-01-28	Arizona	US	1			2020-01-28 13:00:00
